OBJECTID,CSA2010,busload17,busload18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,440.279,435.138,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,238.177,225.762,37524.9505333862,47882527.7112373
3,Belair-Edison,356.282,385.19,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,384.68,411.359,150987.70363871,176077742.748461
5,Canton,62.4691,72.9811,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,307.934,382.515,39962.5498346887,71541340.306082
7,Cherry Hill,541.819,611.214,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,420.32,253.045,21705.411630324,21022590.1303212
9,Claremont/Armistead,261.694,314.926,40104.4159801772,61243774.4204004
10,Clifton-Berea,482.783,641.931,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,75.8785,68.8551,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,171.909,168.579,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,339.895,373.291,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,10379.6,8135.18,21565.8593945388,20736554.4071934
15,Edmondson Village,195.696,186.707,21504.5513578719,23563061.0426838
16,Fells Point,146.366,184.996,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,267.337,298.858,36886.899781185,37200535.0297002
18,Glen-Fallstaff,373.676,407.042,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,625.953,633.67,26454.2692113378,27051213.4555493
20,Greater Govans,327.123,294.531,22982.1257150065,22698495.7172767
21,Greater Mondawmin,2057.61,2341.4,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,164.566,159.396,39862.7497953315,56688145.179702
23,Greater Rosemont,596.812,619.489,32559.0762212062,42204384.5422658
24,Greenmount East,761.975,754.82,20797.473457859,19072287.8238042
25,Hamilton,185.741,176.554,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,406.88,557.417,18552.4075815481,10215859.0840198
27,Harford/Echodale,238.91,243.139,40019.1854001864,65360039.1701278
28,Highlandtown,395.172,553.749,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,697.324,847.296,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,392.765,726.523,43415.0595477941,24995836.2620936
31,Lauraville,263.016,274.77,34419.6765281197,49665744.2382935
32,Loch Raven,321.272,323.873,29314.3346718106,44147812.3259686
33,Madison/East End,171.957,230.369,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,165.862,205.486,43152.6256992199,62441489.2397897
35,Midtown,488.615,611.317,25020.0969697781,23823949.929494
36,Midway/Coldstream,470.283,576.56,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,318.162,344.059,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,172.601,207.042,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,232.994,265.978,42904.2221443837,74923987.6939622
40,Northwood,282.101,285.997,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,1021.26,1497.05,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,823.459,947.058,47825.8629265765,89894372.2114828
43,Patterson Park North & East,330.126,388.551,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,643.877,682.355,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,417.569,457.81,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,497.444,638.867,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,282.291,424.968,20987.1433066415,23672092.8680536
48,South Baltimore,98.1892,52.382,68440.0258267645,46353935.42529
49,Southeastern,372.045,453.858,102291.480547452,111251478.472831
50,Southern Park Heights,334.161,381.242,24052.2213722085,27876227.5906738
51,Southwest Baltimore,418.563,615.505,28355.5635813649,37766068.8367913
52,The Waverlies,779.311,713.688,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,301.682,565.849,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,597.674,625.141,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,336.283,300.69,42573.1244161893,45494092.9497963
